1000g Golden Pillow,1000g وسادة جولدن,Kabbani Egypt,First Settlement branch,Mattresses and bedding,Pillow,6,2,170,200,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/8_ed8e844e-3e28-4c7d-bee7-6cf37f5ae357.jpg?v=1584193991,1,153,"import_2019_08_07_192328, joined-description-fields, less than 10000, أبيض, ابيض, اقل من 10000, فايبر, مراتب ومفروشات, وسادات",Good Germany wood,خشب ألمانى جيد,4 Years,4 سنوات,Color,"""ashen"",""yellow"",""oil"",""Navy blue"",""silver"",""begie""",4,4,4372501921867,31349764587595,KB-PW-GDN1000
106 chandeliers,106 نجفة,Kabbani Egypt,First Settlement branch,Lighting,Modern,6,2,3995,4700,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/106.jpg?v=1594198709,1,3595.5,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,1 year,سنة واحدة,Color,"""ashen"",""yellow"",""oil"",""Navy blue"",""silver"",""begie""",3,3,4614259572811,32574443028555,KB-L-106
15016/1 lantern,15016/1  فانوس,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,1495,1760,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/15016-1.jpg?v=1607521929,1,1345.5,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709826265163,32981787869259,30-2736
17114/6 chandeliers,17114/6  نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,3250,3824,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/17114-6.jpg?v=1607521926,1,2925,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709825708107,32981785444427,30-003383
1752/6 chandeliers,1752/6  نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,2950,3471,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1752-6.jpg?v=1607521927,1,2655,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709825871947,32981785706571,30-003275
1753/6 chandeliers,1753/6  نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,2950,3471,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1753-6.jpg?v=1607521927,1,2655,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709825904715,32981785837643,KB-LD-1753/6
1760/5 chandeliers,1760/5  نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,2550,3000,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1760-5.jpg?v=1607521926,1,2295,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709825806411,32981785608267,KB-LD-1760/5
1795/6 chandeliers,1795/6  نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,2950,3471,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1795-6.jpg?v=1607521925,1,2655,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,3 Years,3 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709825511499,32981784789067,KB-LD-1795/6
1834 chandeliers,1834 نجفة,Kabbani Egypt,First Settlement branch,Lighting,Modern,6,2,2450,2882,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1834.jpg?v=1594198709,1,2205,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,1 year,سنة واحدة,Color,"""ashen"",""yellow"",""oil"",""Navy blue"",""silver"",""begie""",3,3,4614259441739,32574427070539,KB-L-1834/400
5/1937 Najaf,1937/5 نجفة,Kabbani Egypt,First Settlement branch,Lighting,Classic,6,2,2450,2880,2 Days,0,https://cdn.shopify.com/s/files/1/0261/8815/2907/products/1937-5.jpg?v=1607521917,1,2205,"import_2019_08_07_192328, joined-description-fields, modern, الالإضاءة, الالإضاءة حديث, حديث, كلاسيكى",Good Germany wood,خشب ألمانى جيد,4 Years,4 سنوات,Size,"""200x200cm"",""200x195cm"",""180x200cm"",""180x195 cm""",3,3,4709817712715,32981748121675,KB-L-1937/5
